state,county,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two or more races: Two races including Some other race,Two or more races: Two races excluding Some other race and three or more races,Total_1,Car truck or van,Car truck or van: Drove alone,Car truck or van: Carpooled,Car truck or van: Carpooled: In 2-person carpool,Car truck or van: Carpooled: In 3-person carpool,Car truck or van: Carpooled: In 4-person carpool,Car truck or van: Carpooled: In 5- or 6-person carpool,Car truck or van: Carpooled: In 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab): Bus or trolley bus,Public transportation (excluding taxicab): Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): Subway or elevated,Public transportation (excluding taxicab): Railroad,Public transportation (excluding taxicab): Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home,Total_2,Family households,Family households: Married-couple family,Family households: Other family,Family households: Other family: Male householder no wife present,Family households: Other family: Female householder no husband present,Nonfamily households,Nonfamily households: Householder living alone,Nonfamily households: Householder not living alone
Indiana,Rush County,97.12045019,1.58045977,0,0.125718391,0,0.275383142,0.897988506,0.07183908,0.826149425,43.68414751,41.11590038,38.1585249,2.957375479,2.544300766,0.347222222,0.04190613,0.02394636,0,0.179597701,0.179597701,0,0,0,0,0,0,0.00598659,0.389128352,0.239463602,1.754070881,40.25981801,28.38242337,21.1566092,7.225814176,3.226772031,3.999042146,11.87739464,10.00359195,1.873802682
Indiana,St. Joseph County,78.6398752,12.98655475,0.466126876,2.289035804,0.090254048,2.149754866,3.378398455,0.402614767,2.975783687,46.87676423,42.23332343,38.47310949,3.760213936,2.928613876,0.508468281,0.232134898,0.041227158,0.049769722,0.611350468,0.52555341,0.005199822,0.015970881,0.059426534,0.005199822,0.03119893,0.029341851,0.278190462,1.645000743,0.260362502,1.78799584,37.60251077,23.89800921,17.49108602,6.406923191,1.564403506,4.842519685,13.70450156,11.56477492,2.139726638
Indiana,Scott County,97.49821,0.252706061,0.277976667,0.543318031,0,0.303247273,1.12454197,0,1.12454197,41.97447669,39.1062629,35.60628396,3.499978941,2.771343133,0.492776818,0.231647222,0.004211768,0,0,0,0,0,0,0,0,0,0.513835657,0.383270859,0.522259192,1.448848082,37.92275618,27.00164259,20.667144,6.334498589,2.215389799,4.11910879,10.92111359,9.23640652,1.684707072
Indiana,Shelby County,94.36023334,1.083357733,0.12838127,0.653167864,0,2.319872069,1.454987725,0,1.454987725,49.26462308,46.4087029,42.71492601,3.693776887,3.292866956,0.38514381,0.004504606,0.011261515,0,0.038289151,0.020270727,0,0,0,0.018018424,0,0.020270727,0.024775333,0.882902768,0.536048109,1.353634091,39.92207032,26.84970382,20.87434402,5.975359805,2.153201649,3.822158157,13.07236649,10.4326674,2.639699092
Indiana,Spencer County,96.8040534,0.725908604,0.224106012,0.27769658,0.063334308,0.901295917,1.003605184,0.160771704,0.842833479,47.76381175,44.10990938,40.97242522,3.137484166,2.625937835,0.365390237,0.146156095,0,0,0.068206178,0.068206178,0,0,0,0,0,0.053590568,0.014615609,0.574880639,0.350774627,2.591834746,39.5059924,28.27146059,23.98421514,4.287245445,1.422585989,2.864659456,11.23453181,9.621942902,1.612588912
Indiana,Starke County,96.75253912,0.366156663,0.213591387,0.697441262,0,1.085392965,0.884878602,0.052308095,0.832570507,41.22313761,39.13081383,34.30103308,4.829780742,4.071313369,0.283335513,0.379233686,0,0.095898174,0.043590079,0.021795039,0,0,0.021795039,0,0,0,0.030513055,0.231027418,0.409746742,1.377446493,38.07593392,26.54199904,20.39143891,6.150560133,1.917963472,4.232596661,11.53393488,9.114685498,2.419249379
Indiana,Steuben County,97.12827058,0.269768521,0.101525788,0.40610315,0.040610315,0.266867784,1.786853861,0.014503684,1.772350177,49.27771654,45.2688983,39.6704763,5.598421999,4.150954342,0.79480188,0.368393572,0.255264837,0.029007368,0.145036839,0.145036839,0,0,0,0,0,0.063816209,0.139235366,1.377849974,0.507628938,1.775250914,41.06282996,27.59180832,22.18483495,5.406973371,1.934791437,3.472181934,13.47102164,10.67761211,2.793409526
Indiana,Sullivan County,93.21854559,3.972681801,0.052904963,0.505001924,0,0.22604848,2.024817237,0.173143517,1.851673721,39.41900731,38.25990766,34.61908426,3.640823394,2.90977299,0.327048865,0.057714506,0.057714506,0.288572528,0.110619469,0.110619469,0,0,0,0,0,0.004809542,0.091381301,0.639669104,0.043285879,0.269334359,37.06714121,25.18757214,18.73797614,6.449595998,2.789534436,3.660061562,11.87956907,10.31646787,1.563101193
Indiana,Switzerland County,96.69740309,0.931501694,0,0.526910049,0.658637561,0.169363944,1.016183666,0,1.016183666,40.4873918,37.72111404,33.101242,4.619872036,3.773052315,0.432818969,0.244636808,0.14113662,0.028227324,0,0,0,0,0,0,0,0,0,0.536319157,0.366955213,1.863003387,40.43093715,27.86977795,21.55626647,6.313511479,2.615732029,3.697779451,12.5611592,10.34060971,2.220549492
Indiana,Tippecanoe County,82.27413442,5.095248661,0.227159868,8.123870804,0.039092628,1.908142889,2.332350735,0.259384872,2.072965863,48.04431202,40.82326962,35.88808943,4.935180196,4.138007544,0.553636143,0.185954124,0.047545089,0.010037296,1.526197344,1.51932972,0.005811066,0,0.001056558,0,0.039092628,0.087165996,0.648198041,3.137447568,0.339683244,1.443257578,36.51040181,20.44491637,15.295255,5.149661373,1.503481357,3.646180016,16.06548544,10.94699251,5.118492926
