fips,population,date,cases,deaths
27025,56579,4/3/2020,4,1
50007,163774,3/25/2020,55,6
40023,8210,3/28/2020,1,0
21047,70461,3/21/2020,1,0
35006,26675,4/7/2020,15,0
12017,149657,3/29/2020,16,1
41005,418187,3/26/2020,21,2
28021,31959,4/1/2020,1,0
53009,77331,4/2/2020,8,0
26035,30950,4/3/2020,2,0
45027,33745,4/3/2020,34,1
53011,2266715,3/6/2020,1,0
28023,15541,3/30/2020,1,0
41007,40224,4/7/2020,5,0
12019,219252,3/12/2020,1,0
19043,292256,4/1/2020,2,0
8019,9700,3/27/2020,3,0
42033,79255,4/7/2020,7,0
27029,8756,4/4/2020,2,0
1029,14910,3/28/2020,4,0
39025,206428,4/4/2020,20,1
40027,7956,3/17/2020,1,0
13065,6618,4/5/2020,2,0
17027,46429,3/16/2020,1,0
28027,22124,4/1/2020,22,0
13067,760141,3/21/2020,56,5
4003,125922,4/4/2020,7,0
47029,36004,4/4/2020,1,0
4005,143476,4/1/2020,85,3
46029,28009,4/6/2020,11,0
47031,52342,3/31/2020,1,0
1033,55241,4/8/2020,7,1
29051,76745,4/1/2020,24,0
31037,11941,4/8/2020,3,0
45029,37677,4/4/2020,9,0
12021,384902,3/24/2020,41,0
48085,1034730,3/23/2020,45,1
13071,45600,4/7/2020,70,5
53013,52354,3/13/2020,1,0
39029,101883,4/3/2020,28,3
48091,156209,4/7/2020,22,2
48093,120749,4/5/2020,1,0
6013,1153526,3/17/2020,34,0
5029,20846,4/7/2020,4,1
17031,5463,1/28/2020,1,0
29053,17709,4/8/2020,2,0
1037,10663,4/9/2020,10,0
28029,28065,3/27/2020,8,0
36023,47581,4/5/2020,14,0
48099,75951,4/8/2020,11,0
39031,36600,3/31/2020,5,0
28031,37049,3/31/2020,2,0
13077,148509,3/28/2020,20,2
53015,110593,4/3/2020,18,0
40035,5131,4/2/2020,2,0
5031,110332,4/2/2020,13,0
48103,4797,4/2/2020,2,0
37049,102139,3/28/2020,4,0
39033,84629,3/24/2020,1,0
40037,71522,4/8/2020,47,2
1041,13772,4/9/2020,2,0
13081,22372,4/7/2020,46,0
21055,47955,4/4/2020,1,0
56011,24404,4/7/2020,1,0
5037,16419,4/7/2020,5,0
8025,6061,4/2/2020,1,1
1043,83768,4/3/2020,15,1
51047,52605,4/5/2020,8,0
17035,149527,3/14/2020,1,0
41015,48954,4/8/2020,2,0
40039,5068,3/21/2020,1,0
39035,1235072,3/23/2020,149,1
13083,7561,4/6/2020,1,1
27037,20026,3/19/2020,7,0
19049,37196,3/16/2020,1,0
55025,546695,2/19/2020,1,0
39037,51113,3/31/2020,13,1
45031,66618,4/3/2020,15,0
42043,278299,4/5/2020,118,1
37057,694144,3/23/2020,2,0
37059,42846,4/5/2020,16,2
21059,8278,3/21/2020,4,0
49011,9000,3/13/2020,1,0
46035,19775,3/24/2020,2,1
13085,26108,3/22/2020,1,0
48117,18546,4/4/2020,5,0
18029,49458,4/7/2020,41,1
47039,26404,3/29/2020,1,0
39039,38087,4/4/2020,7,0
17037,71513,3/23/2020,1,0
42045,44135,3/8/2020,1,0
8029,31162,3/29/2020,1,0
48121,887207,3/29/2020,165,2
8031,727211,3/20/2020,79,0
19057,38967,4/9/2020,3,0
41017,197692,3/25/2020,10,0
5041,11361,3/30/2020,2,0
12027,38001,3/26/2020,5,0
46039,1794,4/4/2020,1,0
48123,20160,4/2/2020,4,0
19059,25239,3/29/2020,1,0
47043,53948,4/3/2020,21,0
45033,30479,4/4/2020,1,0
11001,705749,3/21/2020,98,1
13091,20605,3/26/2020,1,0
35013,218195,4/3/2020,22,0
20043,7600,4/7/2020,1,0
24019,162809,4/4/2020,1,0
13095,87956,3/29/2020,247,17
41019,13185,3/8/2020,1,0
5043,18219,4/8/2020,5,0
18037,42736,4/6/2020,7,0
19061,97311,4/2/2020,22,1
25007,17332,4/7/2020,9,0
29069,29131,4/3/2020,7,0
55033,4424,3/25/2020,1,0
17043,922921,3/28/2020,202,6
37061,58741,4/8/2020,8,0
37063,321488,3/30/2020,106,0
36027,294218,3/26/2020,190,2
12031,11157,3/19/2020,15,1
47045,37159,4/2/2020,5,0
8037,55127,3/20/2020,61,0
13099,10190,4/2/2020,42,1
48133,18360,4/8/2020,3,0
26045,110268,4/2/2020,37,1
55035,104646,4/2/2020,14,0
38027,58460,4/8/2020,1,0
45037,27260,4/4/2020,5,0
17049,34008,4/7/2020,1,0
6017,192843,4/4/2020,22,0
48141,839238,3/13/2020,1,0
8039,26729,3/23/2020,3,0
18039,206341,4/4/2020,31,3
32007,52778,4/2/2020,5,0
48139,3859,3/21/2020,3,0
16039,81209,4/1/2020,3,0
26047,33415,3/29/2020,4,0
48143,42698,4/8/2020,8,1
39043,74266,3/23/2020,1,1
1053,318316,3/28/2020,1,0
34013,36885,3/12/2020,1,0
1055,102268,4/8/2020,47,4
2090,96849,3/30/2020,31,0
51059,1147532,3/21/2020,22,1
45039,943332,3/19/2020,1,0
48145,17297,4/7/2020,1,0
48147,35514,3/25/2020,1,0
5045,126007,4/1/2020,36,0
51061,71222,4/9/2020,20,0
21067,21336,3/7/2020,1,0
53019,7627,4/8/2020,1,0
27045,21067,3/27/2020,3,0
12035,115081,4/5/2020,31,1
30029,103806,4/2/2020,18,0
55037,4295,4/9/2020,2,0
18043,98498,3/16/2020,1,0
51065,27270,4/5/2020,7,0
55039,103403,3/24/2020,18,1
20057,12961,3/24/2020,1,0
42053,9004,4/9/2020,5,0
28035,74897,3/25/2020,15,0
37067,382295,3/17/2020,2,0
48157,811688,3/18/2020,12,0
38031,3210,4/8/2020,1,0
18045,16346,4/9/2020,2,1
20059,56042,3/14/2020,1,0
51069,89313,3/25/2020,2,0
8043,13099,3/24/2020,1,0
6019,999101,3/21/2020,10,0
36035,1063937,3/21/2020,1,0
12039,45660,4/8/2020,8,0
48165,21492,4/8/2020,1,0
30031,4828,3/17/2020,1,0
39053,29898,4/5/2020,4,1
48167,342139,3/27/2020,49,0
49017,2225,3/29/2020,1,0
5051,99386,3/29/2020,26,0
24023,29014,4/6/2020,3,0
40049,27711,4/3/2020,8,0
37071,224529,4/1/2020,31,0
39055,93649,3/30/2020,22,0
36037,57280,3/25/2020,2,0
28039,24500,4/4/2020,4,0
45043,62680,4/6/2020,21,1
47053,33659,3/27/2020,2,0
47055,16720,4/2/2020,3,0
13123,31369,4/6/2020,2,0
26051,25449,4/5/2020,4,0
51073,291636,3/25/2020,2,0
13127,85292,4/2/2020,21,0
26053,13975,4/9/2020,3,1
51075,23753,3/31/2020,7,0
27049,46340,4/8/2020,13,0
13129,57963,3/27/2020,12,1
13131,24633,3/31/2020,1,0
33009,89886,3/16/2020,5,0
4009,38837,3/18/2020,1,0
49019,9754,4/9/2020,1,0
26055,93088,4/5/2020,12,3
53025,7150,3/14/2020,1,0
37077,60443,4/5/2020,37,0
48179,21886,4/8/2020,9,0
53027,75061,3/26/2020,1,0
48181,15550,3/26/2020,2,0
21087,36960,4/7/2020,1,0
29077,36233,3/13/2020,1,0
45045,523542,3/29/2020,71,1
45047,70811,3/22/2020,2,0
48183,123945,3/25/2020,1,0
28043,20758,4/4/2020,4,0
48185,28880,4/8/2020,4,0
17063,12232,3/25/2020,1,0
48187,166847,4/1/2020,17,0
37081,537174,4/1/2020,55,1
8051,17462,3/24/2020,40,1
13135,936250,3/21/2020,23,1
48189,14651,3/31/2020,1,0
51083,50010,3/31/2020,1,0
48191,204441,3/31/2020,1,0
47063,64934,4/3/2020,3,0
47065,367804,3/14/2020,1,0
25013,466372,3/29/2020,201,5
25015,160830,3/24/2020,8,0
28045,75783,3/17/2020,1,0
51085,107766,3/26/2020,2,0
13143,29792,4/7/2020,17,0
47069,25050,4/4/2020,6,0
47071,57602,3/25/2020,1,0
24025,255441,3/22/2020,5,0
37085,135976,3/28/2020,13,1
13145,4713325,3/31/2020,3,0
21097,208080,3/9/2020,1,0
13147,19035,4/2/2020,3,0
9003,891720,3/28/2020,228,2
15001,201513,3/31/2020,15,0
47073,56786,4/8/2020,18,1
48209,230191,3/28/2020,13,0
47075,17304,4/4/2020,2,0
13149,11923,4/3/2020,2,1
5057,21532,4/8/2020,3,0
37089,6646,3/23/2020,1,0
18063,170311,3/22/2020,8,0
27053,1265843,3/26/2020,128,0
51087,330818,3/31/2020,62,3
29083,21824,3/13/2020,1,0
36043,61319,3/26/2020,7,0
12053,193920,4/2/2020,34,0
37091,23677,4/9/2020,4,1
47081,4380,4/8/2020,2,0
48215,4198,3/31/2020,38,0
39071,2190,3/31/2020,1,0
12055,106221,4/4/2020,30,2
48217,16484,3/31/2020,1,0
12057,1471968,3/6/2020,2,0
26059,45605,4/7/2020,55,4
28049,231840,3/29/2020,66,0
8053,820,4/4/2020,1,0
48219,23021,4/3/2020,7,1
37093,55234,4/1/2020,4,0
12059,17010,3/31/2020,1,0
15003,974563,3/20/2020,28,0
41027,23382,4/3/2020,3,0
21107,37084,3/28/2020,2,1
45051,354081,3/29/2020,31,3
5059,33771,4/7/2020,7,0
13153,157863,3/20/2020,1,0
18067,10001,3/13/2020,1,0
34017,672391,3/23/2020,190,0
8055,6897,4/7/2020,1,0
46065,17526,3/30/2020,1,0
6023,135558,2/24/2020,1,0
28053,8064,3/27/2020,1,0
48231,98594,4/8/2020,8,0
34019,124371,3/30/2020,79,0
26063,30981,3/28/2020,1,0
48233,20938,4/4/2020,2,0
16049,16667,4/8/2020,3,0
6025,181215,4/3/2020,55,0
5063,37825,4/2/2020,4,0
12061,159923,4/2/2020,41,0
42063,84073,4/9/2020,21,0
26065,292406,3/26/2020,22,0
6027,18039,4/8/2020,11,0
26067,64697,4/9/2020,13,1
26069,25127,4/8/2020,4,1
55049,23678,3/29/2020,3,0
37097,181806,3/31/2020,25,0
55051,5687,3/27/2020,1,1
13155,9416,4/7/2020,9,0
26073,69872,4/7/2020,22,2
53029,85141,3/25/2020,38,1
51093,37109,4/4/2020,18,0
28057,23390,4/5/2020,3,0
40065,11786,3/14/2020,1,0
51095,76523,3/26/2020,49,3
45053,16383,3/21/2020,1,0
8059,57146,3/5/2020,1,0
22053,11128,4/7/2020,25,1
18079,27735,4/1/2020,17,0
21113,54115,4/5/2020,15,0
17085,21235,4/5/2020,5,0
20091,17788,3/8/2020,1,0
37101,11085,3/19/2020,2,0
28067,903,3/21/2020,1,0
41033,87487,4/4/2020,13,0
55057,26687,4/8/2020,5,0
2110,31974,4/6/2020,14,0
42067,24763,4/7/2020,14,0
26077,265066,4/6/2020,58,3
26079,18038,4/7/2020,10,2
54039,178124,4/3/2020,40,0
27067,43199,4/9/2020,2,0
49025,532403,4/5/2020,2,0
17091,109862,4/1/2020,57,0
48255,15601,4/9/2020,2,0
15007,72293,3/28/2020,11,0
48257,136154,4/8/2020,14,0
40071,43538,3/29/2020,20,0
31099,6495,4/9/2020,3,0
2122,58708,4/1/2020,8,0
17093,47431,3/23/2020,4,0
23011,122302,3/31/2020,12,1
55059,169561,3/31/2020,37,0
24029,656955,3/27/2020,2,0
21117,166998,4/1/2020,26,2
6029,900202,3/31/2020,101,1
45055,66551,3/20/2020,36,0
2130,13901,3/31/2020,13,0
53033,2252782,3/6/2020,59,12
51099,26836,4/9/2020,13,0
6031,152940,4/3/2020,5,0
40075,1406,4/6/2020,1,0
8063,7097,4/9/2020,6,0
53035,271473,3/22/2020,20,0
53037,47935,3/21/2020,4,0
41035,68238,3/21/2020,1,0
53039,22425,3/28/2020,7,0
47093,49699,3/13/2020,1,0
16055,165697,4/3/2020,37,0
19109,14813,4/5/2020,1,0
55063,118016,4/1/2020,19,0
4012,21108,4/9/2020,4,0
8067,56221,4/6/2020,32,0
27073,6623,4/6/2020,1,0
42069,209674,4/1/2020,85,3
29107,54019,3/24/2020,1,0
17097,7869,3/12/2020,1,0
1075,19077,3/21/2020,1,0
50015,25362,4/8/2020,19,1
51103,98012,3/29/2020,1,0
41039,1535,3/24/2020,4,1
26087,87607,4/7/2020,56,3
18091,109888,3/28/2020,4,0
56021,99500,3/31/2020,27,0
8069,356899,3/23/2020,34,0
17099,108669,3/25/2020,3,0
47097,74125,4/2/2020,2,0
21125,60813,4/8/2020,3,0
45059,67493,3/30/2020,3,0
48285,20154,4/2/2020,1,0
28077,25844,3/21/2020,1,0
27079,28887,4/5/2020,20,0
35025,71070,4/4/2020,2,0
28079,22786,4/4/2020,8,0
20103,81758,4/1/2020,25,0
42075,141793,4/2/2020,45,0
13177,33657,3/11/2020,1,0
26089,21761,3/27/2020,1,0
28083,28183,3/27/2020,13,0
42077,369318,3/29/2020,151,3
26091,98451,4/8/2020,36,0
37107,55949,4/8/2020,11,0
48289,293582,4/5/2020,2,0
53041,26296,3/17/2020,1,0
30049,69432,3/27/2020,7,0
45063,298750,3/28/2020,30,1
13179,88219,3/25/2020,1,0
39089,176862,4/4/2020,50,1
1083,23437,3/20/2020,1,0
53043,13024,3/15/2020,1,0
20107,11920,3/22/2020,1,0
9005,180333,3/26/2020,44,0
36051,15227,3/19/2020,1,0
48299,21795,4/8/2020,3,0
40083,2794,3/20/2020,1,0
13183,19559,4/8/2020,1,0
5085,73309,4/9/2020,26,0
39093,309833,3/28/2020,65,0
6037,10039107,2/9/2020,1,0
47105,54068,4/5/2020,13,0
51107,413538,3/24/2020,18,0
51109,37591,3/27/2020,5,0
1085,117406,3/26/2020,1,0
48303,310569,3/31/2020,77,1
39095,8600,3/22/2020,5,1
13187,33610,4/4/2020,9,0
42079,317417,3/29/2020,94,2
42081,113299,4/8/2020,15,0
46085,3781,4/6/2020,1,0
21143,11755,3/19/2020,1,0
26099,873972,3/27/2020,404,14
13193,104009,3/26/2020,1,0
6039,157327,3/21/2020,3,0
1089,16338,3/17/2020,1,0
19123,22095,4/9/2020,4,0
39099,228683,3/31/2020,153,9
12081,403253,3/15/2020,4,0
26101,24558,4/7/2020,9,0
55073,135692,4/3/2020,9,0
1091,18863,4/9/2020,14,1
4013,4485414,2/9/2020,1,0
6041,258826,3/11/2020,4,0
18097,16694,3/6/2020,1,0
45069,26118,4/4/2020,3,0
55077,66699,4/1/2020,2,0
1095,9707,3/25/2020,1,0
12085,11195,3/21/2020,1,0
53045,13359,3/19/2020,1,0
48321,36643,3/30/2020,13,1
2170,108317,3/30/2020,3,0
51115,8834,4/8/2020,2,0
15009,167417,3/29/2020,20,0
47119,96387,4/3/2020,20,0
48323,58722,4/8/2020,7,0
40097,41100,4/7/2020,12,2
40087,40474,4/2/2020,11,0
46087,5586,3/27/2020,2,0
21145,65418,4/7/2020,13,1
21147,17231,4/8/2020,3,0
29119,22837,4/8/2020,3,0
37111,45756,3/30/2020,4,0
13189,21312,4/9/2020,18,2
38049,5745,3/31/2020,1,1
38051,14378,3/30/2020,1,0
35031,71367,4/3/2020,32,0
38055,9450,4/1/2020,2,0
48309,256623,4/1/2020,48,1
47107,53794,4/5/2020,3,0
20113,2379,3/31/2020,3,0
46093,4033,3/29/2020,1,0
30059,1862,4/9/2020,1,0
51117,30587,3/25/2020,3,0
26107,43453,4/9/2020,9,1
48325,179746,3/24/2020,1,0
39105,22907,4/7/2020,1,0
17129,2138,4/5/2020,1,0
6045,86749,4/1/2020,4,0
21165,6489,4/2/2020,4,0
55078,22780,4/8/2020,1,0
6047,277680,4/7/2020,34,1
34021,109424,3/15/2020,1,0
13199,21167,4/8/2020,18,0
33013,151391,4/1/2020,28,0
8077,154210,3/28/2020,7,0
18103,35516,3/22/2020,1,0
12086,2716940,3/25/2020,489,0
34023,162436,3/11/2020,2,0
48329,176832,3/25/2020,3,1
48331,24823,4/8/2020,7,0
13201,25619,3/24/2020,1,0
55079,945726,3/27/2020,468,9
8079,4505,4/1/2020,2,0
46099,193134,3/24/2020,5,0
26113,15118,4/9/2020,1,1
5093,13180,4/9/2020,6,0
30063,119600,3/28/2020,9,0
37121,14964,4/3/2020,1,0
1097,413210,4/2/2020,69,4
4015,212181,4/9/2020,27,1
29135,16132,4/5/2020,4,0
34025,618795,3/23/2020,238,2
6051,14444,4/7/2020,19,1
19133,8615,4/9/2020,6,0
54061,105612,4/2/2020,35,0
42089,46545,3/9/2020,1,0
26117,63888,3/26/2020,3,0
6053,434061,3/31/2020,42,2
48339,607391,3/10/2020,1,0
42093,18230,4/4/2020,19,0
8085,42758,4/4/2020,31,1
37125,100880,3/19/2020,2,0
18109,33658,3/22/2020,1,0
48343,12388,3/26/2020,1,0
39117,11603,4/2/2020,1,0
38059,31364,3/21/2020,8,0
27099,40062,4/2/2020,15,0
21177,30622,4/7/2020,8,0
41051,812855,3/24/2020,25,2
13213,40096,3/28/2020,2,0
19139,42664,4/2/2020,19,1
13215,195769,4/3/2020,31,0
26121,173566,4/6/2020,33,4
39119,86215,4/9/2020,8,0
40101,67997,4/5/2020,20,2
48347,65204,4/9/2020,25,2
25019,11399,4/4/2020,9,0
6055,137744,3/11/2020,1,0
37127,94298,4/5/2020,21,0
12089,88625,3/16/2020,1,0
56025,79858,4/3/2020,21,0
4017,110924,3/31/2020,91,0
21179,46233,3/18/2020,1,0
31127,10231,3/26/2020,1,0
20133,16007,4/8/2020,1,0
5099,99755,3/29/2020,1,0
10003,558753,3/25/2020,79,0
37129,234473,4/1/2020,32,0
9009,854757,3/28/2020,236,6
9011,265206,4/3/2020,40,3
26123,48980,4/6/2020,2,0
45071,38440,4/5/2020,7,0
44005,NA,4/1/2020,31,0
13217,21018,3/17/2020,1,0
16069,40408,4/8/2020,18,2
36063,209281,4/3/2020,91,0
21181,24496,4/4/2020,1,0
27103,34274,3/31/2020,3,0
18113,47744,3/13/2020,1,0
25021,706775,3/16/2020,36,0
42095,11710,3/16/2020,1,0
51133,12095,3/30/2020,2,0
51135,15232,4/8/2020,3,0
28103,10417,4/7/2020,5,0
48355,362294,4/7/2020,59,0
32023,46523,4/3/2020,7,0
26125,1257584,3/24/2020,428,4
34029,607186,3/27/2020,484,8
26127,26467,4/9/2020,3,1
13219,79546,3/23/2020,3,0
26129,20997,3/30/2020,4,0
18115,23994,3/27/2020,1,0
12091,210738,3/21/2020,12,0
53047,42243,4/8/2020,12,0
40109,797434,3/27/2020,94,2
40111,38465,4/9/2020,13,0
28105,49587,4/5/2020,27,0
48359,66799,3/25/2020,1,1
27109,158293,3/25/2020,21,0
55085,228671,3/31/2020,3,0
36067,460528,3/30/2020,180,0
37133,197938,3/26/2020,4,0
36069,109777,3/30/2020,20,0
6059,3175692,1/26/2020,1,0
45075,86175,4/3/2020,25,0
36073,27037,3/28/2020,3,0
29151,13615,3/30/2020,1,0
26133,23460,3/29/2020,2,0
36075,117124,4/6/2020,33,2
8089,67490,3/28/2020,3,0
36077,59493,3/24/2020,1,0
26139,31127,3/18/2020,1,0
22073,23382,3/27/2020,25,1
55087,187885,3/30/2020,9,0
47133,22241,4/7/2020,4,0
18119,10901,3/26/2020,4,0
23017,57975,3/31/2020,9,0
55089,89221,4/2/2020,47,5
19145,23902,3/31/2020,2,0
12099,1496770,3/26/2020,172,3
28107,23194,3/27/2020,4,0
8093,18845,3/20/2020,1,0
48367,142878,4/7/2020,6,0
12101,553947,3/24/2020,16,1
37139,39824,4/3/2020,7,0
34031,501826,3/22/2020,95,1
13223,168667,3/19/2020,3,0
40117,2613,3/21/2020,2,0
16075,23951,4/8/2020,6,1
40119,81784,3/29/2020,13,0
13225,27546,4/2/2020,7,1
28109,55535,3/27/2020,18,0
29155,15805,4/7/2020,3,0
54071,6969,4/6/2020,1,0
46103,14119,3/30/2020,5,0
23019,152148,4/1/2020,13,0
17143,179179,3/30/2020,8,0
28111,19169,3/19/2020,1,0
31137,44573,4/9/2020,1,0
42101,1584064,3/24/2020,177,0
5107,3954,4/5/2020,1,0
39129,58457,4/8/2020,35,0
45077,19930,3/24/2020,1,0
55093,3975,3/10/2020,1,0
42103,55809,3/13/2020,1,0
4019,1047279,3/23/2020,24,0
4021,462789,3/20/2020,10,0
12103,974996,3/24/2020,45,1
8097,17767,3/25/2020,21,0
37147,180742,4/3/2020,31,0
51143,60354,4/9/2020,4,0
6061,398329,3/16/2020,8,1
29165,8393,3/25/2020,2,0
19149,521202,4/9/2020,4,0
5111,23528,4/2/2020,5,0
13233,490161,3/7/2020,1,0
28115,38284,3/25/2020,2,0
5115,4177,3/23/2020,1,0
55097,70772,4/1/2020,1,0
18127,170389,4/7/2020,84,0
18129,25427,4/9/2020,5,0
20149,24383,3/30/2020,1,0
19155,93206,3/23/2020,2,0
42105,16526,3/24/2020,1,0
21197,6890,4/7/2020,1,0
19157,18504,4/5/2020,6,1
28117,25126,4/8/2020,10,0
54077,33432,4/7/2020,6,0
51147,22802,3/26/2020,2,0
51149,38353,4/9/2020,25,0
24033,909327,3/23/2020,47,1
51153,470335,3/26/2020,44,0
