fips,population,date,cases,deaths
35039,38921,4/8/2020,7,0
8105,11267,4/9/2020,5,0
29181,28324,4/2/2020,2,0
6065,2470546,3/21/2020,30,5
47145,13688,3/28/2020,1,0
51161,94186,4/8/2020,9,0
46109,854,4/5/2020,4,0
47147,2108,3/19/2020,2,0
37155,130625,4/5/2020,5,0
55105,1357,3/24/2020,3,0
17161,141879,4/5/2020,40,0
51163,22573,4/6/2020,3,0
13247,90896,4/2/2020,57,2
33015,81948,3/10/2020,2,0
36087,325789,3/20/2020,101,3
48397,104915,4/9/2020,14,0
30085,11004,3/26/2020,1,0
26143,24019,4/5/2020,5,0
8107,25638,3/27/2020,12,0
37159,142088,3/27/2020,10,0
18139,3036,4/1/2020,5,0
48401,54406,3/25/2020,1,0
1113,57961,3/28/2020,1,0
47149,332285,3/20/2020,1,0
50021,58191,4/3/2020,17,0
6067,1552058,3/6/2020,3,0
23023,35856,4/4/2020,13,0
26145,190539,4/4/2020,103,0
34033,62385,4/5/2020,26,2
5125,14224,3/17/2020,1,0
49035,1160437,3/10/2020,1,0
45081,20473,4/2/2020,2,0
37163,63531,3/31/2020,1,0
6069,62808,3/27/2020,11,1
6071,2180085,3/29/2020,111,3
6073,3338330,2/24/2020,1,0
6075,881549,2/16/2020,2,0
6077,762148,3/24/2020,60,2
53055,123958,3/22/2020,1,0
6079,283111,3/28/2020,67,0
6081,766573,3/16/2020,42,1
8113,27277,3/23/2020,1,0
48409,66730,4/8/2020,7,0
35043,146748,3/28/2020,15,0
39143,58518,4/6/2020,5,0
17167,194672,3/28/2020,8,1
26151,41170,4/8/2020,22,2
6083,446499,3/29/2020,68,0
6085,1927852,2/14/2020,2,0
4023,46498,3/24/2020,1,0
35049,150358,3/25/2020,17,0
12113,184313,3/19/2020,1,1
12115,433742,3/26/2020,34,2
36091,229863,3/21/2020,35,0
31153,187196,3/31/2020,16,0
55111,64442,4/2/2020,16,2
31155,21578,4/7/2020,4,0
36093,155299,3/27/2020,66,0
36095,30999,4/2/2020,8,0
36097,17807,3/31/2020,2,0
42107,141359,4/5/2020,90,0
29199,4902,4/7/2020,1,0
28123,38280,3/19/2020,1,0
5129,7881,4/2/2020,4,0
5131,127827,4/2/2020,8,0
20173,2248,3/26/2020,16,0
40133,8090,3/29/2020,1,0
39147,34016,3/30/2020,3,0
40135,41569,4/9/2020,10,2
47155,98250,3/19/2020,1,0
20175,17284,4/9/2020,3,0
6089,180080,3/23/2020,3,0
20177,176875,4/8/2020,53,3
55117,115340,3/27/2020,7,0
47157,49024,3/9/2020,1,0
51171,43616,4/8/2020,13,0
27141,97238,4/9/2020,9,0
56033,1315,3/13/2020,1,0
41055,5917,4/8/2020,1,0
26155,68122,4/9/2020,31,0
27143,14865,4/9/2020,1,0
30093,34915,3/27/2020,7,0
28127,18572,3/26/2020,1,0
38085,34855,3/28/2020,1,0
6093,43539,4/4/2020,3,0
53057,129205,3/24/2020,48,1
28129,15916,3/23/2020,1,0
53061,822083,2/4/2020,1,0
35053,16637,3/25/2020,2,0
6095,447643,3/9/2020,12,0
24039,50484,3/24/2020,1,0
6097,494336,3/11/2020,3,0
51175,17631,4/9/2020,5,0
13255,66703,4/3/2020,23,1
45083,319785,3/22/2020,2,0
21215,20277,3/28/2020,1,0
53063,522798,3/9/2020,4,0
51177,136215,3/28/2020,3,0
22089,402022,3/20/2020,7,0
1115,259686,3/17/2020,1,0
55109,90687,4/3/2020,7,0
29187,67215,4/6/2020,17,0
12109,264672,3/25/2020,28,1
18141,60964,3/18/2020,1,0
36089,107740,4/5/2020,58,0
27137,199070,3/22/2020,1,0
12111,328297,4/4/2020,76,3
24037,113510,4/5/2020,40,0
20185,152882,4/3/2020,1,0
6099,550660,3/25/2020,12,0
37167,62806,4/3/2020,7,0
17175,5342,4/9/2020,1,0
18149,22995,4/7/2020,5,0
27145,161075,3/26/2020,5,0
27147,1890,3/28/2020,5,0
13257,25925,3/25/2020,2,0
17177,44498,4/5/2020,3,0
36101,95379,3/22/2020,3,0
53065,5485,3/24/2020,1,0
47161,6621,4/5/2020,2,0
29207,29025,4/9/2020,9,0
5137,12506,3/24/2020,2,0
19169,97117,4/4/2020,5,0
33017,130633,4/4/2020,43,0
25025,1476601,2/8/2020,1,0
47163,158348,3/12/2020,1,0
39153,31011,3/15/2020,2,0
20191,22836,4/2/2020,1,0
1119,12427,3/31/2020,1,0
28133,25110,4/5/2020,19,1
37171,71783,3/31/2020,2,0
42115,40328,4/9/2020,16,1
51183,11159,4/3/2020,2,0
6101,96971,4/8/2020,20,2
56037,42343,4/8/2020,5,0
24041,37181,3/23/2020,1,0
1121,79978,4/1/2020,8,0
28135,13809,4/6/2020,3,0
1123,40367,4/6/2020,31,1
19171,16854,4/5/2020,30,0
29213,55928,4/6/2020,7,0
35055,32723,3/31/2020,11,0
48439,2102515,3/24/2020,57,1
28137,28321,4/5/2020,15,0
13267,25286,4/5/2020,3,0
48441,21569,3/27/2020,1,0
51185,131803,4/3/2020,2,0
8119,25388,4/6/2020,11,1
13273,776,3/27/2020,6,2
48445,12337,4/8/2020,4,0
56039,12142,3/18/2020,1,0
40139,19983,4/1/2020,1,0
13275,7777,3/29/2020,7,0
53067,290536,3/18/2020,6,0
13277,40644,4/3/2020,34,0
41057,27036,4/9/2020,4,0
36107,40591,3/21/2020,1,0
28139,22015,4/3/2020,30,3
18157,195732,4/2/2020,19,1
18159,61599,3/27/2020,2,0
46121,12294,3/31/2020,1,0
9013,150721,4/2/2020,67,10
48451,119200,4/8/2020,24,0
36109,102180,3/28/2020,45,0
49045,72259,3/30/2020,9,0
30101,4736,4/9/2020,18,3
13279,26830,4/9/2020,11,1
37175,34385,4/7/2020,6,0
48453,1273954,3/27/2020,160,1
13285,69922,3/30/2020,15,1
39155,197974,3/26/2020,12,1
54093,6839,4/2/2020,3,0
6107,466195,3/26/2020,20,0
40143,651552,3/20/2020,5,1
28143,9632,4/4/2020,15,1
46125,8384,3/30/2020,1,0
1125,209355,3/27/2020,22,0
39157,91987,3/28/2020,5,0
26157,52245,4/4/2020,20,2
13289,8120,4/5/2020,2,0
16083,86878,4/1/2020,17,0
54095,8591,4/9/2020,2,0
36111,177573,3/22/2020,26,0
41059,77950,3/25/2020,2,0
47171,17883,4/9/2020,1,0
34039,556341,3/9/2020,1,0
54097,24176,3/26/2020,1,0
49049,636235,3/29/2020,51,0
48465,49025,4/9/2020,12,0
16085,11392,3/26/2020,1,0
5141,75677,3/22/2020,1,0
48467,56590,4/2/2020,3,1
37181,44535,4/6/2020,12,0
18163,181451,4/3/2020,33,0
6111,846006,3/24/2020,39,1
22113,75758,3/31/2020,8,1
22115,20563,3/30/2020,3,0
48469,92084,4/7/2020,50,0
18167,107038,4/2/2020,10,2
55125,22195,4/9/2020,4,0
12127,553284,3/21/2020,11,0
18169,30996,4/4/2020,1,0
27157,21627,4/4/2020,6,0
40145,81289,4/7/2020,55,3
37183,1111761,3/17/2020,17,0
23027,39715,4/7/2020,5,0
48471,69761,3/25/2020,1,0
53071,60760,3/16/2020,1,0
38099,10641,4/6/2020,3,0
28147,14286,4/2/2020,10,0
12131,94593,3/21/2020,4,0
55127,103868,3/26/2020,5,0
19179,34969,4/6/2020,2,0
38101,67641,3/18/2020,2,0
13299,35734,4/8/2020,43,3
21227,45381,3/18/2020,1,0
18173,62998,4/7/2020,23,0
49051,34091,3/30/2020,45,0
41065,26682,4/9/2020,7,0
27161,18612,3/29/2020,3,0
41067,10194,2/28/2020,1,0
32031,471519,3/19/2020,18,0
26161,367601,3/26/2020,92,3
37189,56177,3/29/2020,5,0
55133,404198,3/25/2020,42,0
42127,89918,3/6/2020,1,0
48479,276652,4/1/2020,45,2
49057,260213,3/26/2020,8,0
22119,9689,3/21/2020,1,0
8123,324492,3/27/2020,129,6
18179,3834,3/21/2020,1,0
36119,967506,3/18/2020,537,0
42129,18015,3/21/2020,4,0
26165,33631,4/4/2020,4,0
48481,41556,4/8/2020,17,0
53073,229247,3/24/2020,64,2
13309,5056,3/31/2020,1,0
47185,78753,3/26/2020,1,0
17195,55175,3/29/2020,3,0
13313,104628,3/31/2020,10,1
18183,36264,4/1/2020,3,0
53075,50104,4/5/2020,11,0
48485,132230,3/25/2020,6,0
24045,103609,4/2/2020,7,1
1131,10373,3/27/2020,2,0
37193,9777,3/31/2020,2,0
27167,6207,4/9/2020,5,1
13319,8630,4/4/2020,2,0
17197,690743,3/30/2020,224,6
39171,37589,4/9/2020,1,0
45089,30368,4/8/2020,13,0
17199,590551,3/18/2020,1,0
37195,81801,3/18/2020,1,0
9015,116782,3/25/2020,2,0
50027,55062,3/28/2020,18,1
17201,171907,3/17/2020,1,0
19191,19991,4/1/2020,3,0
27169,50484,4/8/2020,19,4
1133,23629,3/28/2020,2,0
48497,37383,4/2/2020,3,0
55141,45539,3/19/2020,1,0
19193,103107,4/5/2020,8,0
17203,38459,3/21/2020,2,0
5147,6320,4/7/2020,1,0
20207,3138,4/7/2020,3,0
25027,830622,3/13/2020,2,0
19195,7381,4/9/2020,1,0
27171,12562,3/17/2020,1,0
39175,21772,4/9/2020,8,1
20209,165429,3/26/2020,34,2
54109,39859,4/9/2020,1,0
53077,250873,3/26/2020,61,2
28161,12108,4/9/2020,11,0
41071,107100,3/29/2020,13,1
4025,235099,4/2/2020,34,0
28163,29690,4/2/2020,11,1
30111,161300,3/27/2020,23,0
6113,220500,3/20/2020,6,0
51199,13679,3/17/2020,1,0
6115,78668,4/4/2020,9,0
4027,213787,3/22/2020,1,0
